Multiple occupations for one geographical area,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Area:National,,,,,,,,,,,,,,,
Period:May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2)
"Camera Operators, Television, Video, and Film(274031)",       23940,         4.9,       34.56,       71890,         1.8,       16.55,       21.15,       29.71,       45.13,       58.05,       34420,       44000,       61800,       93870,      120740
Film and Video Editors(274032),       29240,         3.7,       40.13,       83470,         1.5,       18.74,       23.52,       32.02,       48.99,       74.27,       38990,       48920,       66600,      101910,      154480
"Media and Communication Equipment Workers, All Other(274099)",       11430,         3.9,       36.47,       75860,         2.0,       14.48,       21.85,       34.30,       49.53,       61.55,       30110,       45440,       71340,      103020,      128020
Healthcare Practitioners and Technical Occupations(290000),     9284210,         0.1,       49.07,      102060,         0.3,       19.88,       28.70,       38.86,       53.48,       80.44,       41350,       59700,       80820,      111240,      167320
Healthcare Diagnosing or Treating Practitioners(291000),     6151910,         0.2,       60.00,      124800,         0.3,       30.78,       37.59,       47.48,       63.68,      100.79,       64010,       78180,       98760,      132450,      209650
Chiropractors(291011),       41480,         6.9,       43.15,       89760,         3.0,       19.21,       27.88,       36.79,       49.00,       68.55,       39960,       57980,       76530,      101930,      142580
Dentists(291020),      138680,         1.6,       96.57,      200870,         1.5,       39.79,       60.01,       82.17,      112.99,           -,       82760,      124830,      170910,      235020,           -
"Dentists, General(291021)",      121640,         1.9,       92.19,      191750,         1.4,       38.86,       59.46,       79.95,      104.82,           -,       80820,      123670,      166300,      218030,           -
Oral and Maxillofacial Surgeons(291022),        4160,         7.0,      160.73,      334310,         5.7,       42.34,      102.07,           -,           -,           -,       88060,      212300,           -,           -,           -
Orthodontists(291023),        6400,        16.1,      117.13,      243620,         9.0,       43.26,       63.46,           -,           -,           -,       89980,      132000,           -,           -,           -
Prosthodontists(291024),         570,        33.4,      115.75,      240750,         9.4,       45.00,       85.00,      112.50,           -,           -,       93600,      176800,      234000,           -,           -
"Dentists, All Other Specialists(291029)",        5920,        10.9,      117.53,      244470,         4.7,       51.60,       90.80,      109.47,           -,           -,      107330,      188860,      227690,           -,           -
Dietitians and Nutritionists(291031),       73860,         1.9,       34.27,       71280,         1.2,       21.59,       28.03,       33.50,       39.36,       47.51,       44910,       58290,       69680,       81860,       98830
Optometrists(291041),       41390,         1.7,       68.75,      143000,         1.4,       31.24,       48.87,       63.39,       77.92,       98.13,       64980,      101650,      131860,      162070,      204100
Pharmacists(291051),      331700,         0.6,       64.81,      134790,         0.3,       43.26,       60.51,       65.40,       74.78,       81.08,       89980,      125860,      136030,      155550,      168650
Physician Assistants(291071),      145740,         1.7,       62.74,      130490,         0.4,       41.48,       51.97,       62.51,       72.94,       82.11,       86280,      108100,      130020,      151720,      170790
Podiatrists(291081),        9470,         5.7,       78.14,      162520,         5.6,       28.15,       41.93,       68.10,      103.88,           -,       58550,       87200,      141650,      216070,           -
Therapists(291120),      744240,         0.6,       44.55,       92670,         0.3,       28.73,       35.88,       43.46,       51.17,       61.48,       59750,       74620,       90400,      106440,      127870
Occupational Therapists(291122),      144840,         1.1,       46.54,       96790,         0.4,       31.35,       38.12,       46.33,       52.64,       62.32,       65210,       79290,       96370,      109480,      129620
Physical Therapists(291123),      240820,         1.3,       48.29,      100440,         0.5,       34.74,       39.41,       47.94,       54.63,       62.92,       72260,       81970,       99710,      113630,      130870
